Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
"	Punct	O	N/A	N/A	N/A	N/A
Ivonne	Eng	PERSON/PERSON	16.97	13.31	-2.38	14.59
Bordelois	Eng	PERSON/PERSON	26.17	22.46	-0.8	25.37
"	Punct	O	N/A	N/A	N/A	N/A
Elaine	Eng	PERSON/PERSON	28.84	25.0	-0.8	28.04
S	Eng	PERSON/PERSON	40.13	19.22	-0.8	39.330000000000005
.	Punct	O	N/A	N/A	N/A	N/A
Brooks	Eng	PERSON/PERSON	33.06	15.58	-0.8	32.260000000000005
"	Punct	O	N/A	N/A	N/A	N/A
Luis	Spn	PERSON/PERSON	21.29	23.79	-2.38	21.41
Cárcamo	Spn	PERSON/PERSON	2.07	27.41	-1.01	26.4
-	Punct	O	N/A	N/A	N/A	N/A
Huechante	Spn	O/PERSON	18.11	37.46	-1.01	36.45
"	Punct	O	N/A	N/A	N/A	N/A
Debra	Spn	O/MISC	21.32	35.5	-1.01	34.49
A	Spn	O/MISC	39.06	38.09	-1.01	37.080000000000005
.	Punct	O	N/A	N/A	N/A	N/A
Castillo	Spn	PERSON/PERSON	31.16	50.77	-1.01	49.760000000000005
"	Punct	O	N/A	N/A	N/A	N/A
Hector	Spn	PERSON/PERSON	36.77	39.57	-1.01	38.56
Mario	Spn	PERSON/PERSON	25.72	42.99	-1.01	41.980000000000004
Cavallari	Spn	PERSON/PERSON	8.25	15.81	-1.01	14.8
"	Punct	O	N/A	N/A	N/A	N/A
Toni	Eng	PERSON/PERSON	26.12	23.8	-2.38	23.740000000000002
Clark	Eng	PERSON/PERSON	26.55	19.22	-0.8	25.75
"	Punct	O	N/A	N/A	N/A	N/A
Mary	Eng	PERSON/PERSON	34.53	22.97	-0.8	33.730000000000004
Coffey	Eng	PERSON/PERSON	25.83	18.21	-0.8	25.029999999999998
"	Punct	O	N/A	N/A	N/A	N/A
Grace	Eng	PERSON/PERSON	38.75	37.27	-0.8	37.95
Dávila	Spn	PERSON/PERSON	5.39	19.19	-2.38	16.810000000000002
-	Punct	O	N/A	N/A	N/A	N/A
López	Spn	PERSON/PERSON	0.89	16.77	-1.01	15.76
"	Punct	O	N/A	N/A	N/A	N/A
María	Spn	PERSON/PERSON	14.64	41.64	-1.01	40.63
Donapetry	Eng	PERSON/PERSON	31.03	15.13	-2.38	28.650000000000002
"	Punct	O	N/A	N/A	N/A	N/A
Robert	Eng	PERSON/PERSON	26.64	20.29	-0.8	25.84
R	Eng	PERSON/PERSON	12.78	8.87	-0.8	11.979999999999999
.	Punct	O	N/A	N/A	N/A	N/A
Ellis	Spn	PERSON/PERSON	21.4	28.6	-2.38	26.220000000000002
"	Punct	O	N/A	N/A	N/A	N/A
Adrianne	Eng	PERSON/PERSON	18.77	17.82	-2.38	16.39
Estill	Eng	PERSON/PERSON	39.71	33.4	-0.8	38.910000000000004
"	Punct	O	N/A	N/A	N/A	N/A
David	Eng	PERSON/PERSON	24.05	19.79	-0.8	23.25
William	Eng	PERSON/PERSON	39.02	3.66	-0.8	38.220000000000006
Foster	Eng	PERSON/PERSON	37.53	24.83	-0.8	36.730000000000004
"	Punct	O	N/A	N/A	N/A	N/A
Juan	Spn	PERSON/PERSON	22.9	23.32	-2.38	20.94
Carlos	Spn	PERSON/PERSON	20.19	47.2	-1.01	46.190000000000005
Galeano	Spn	PERSON/PERSON	19.48	28.81	-1.01	27.799999999999997
"	Punct	O	N/A	N/A	N/A	N/A
Alicia	Spn	PERSON/PERSON	18.99	35.2	-1.01	34.190000000000005
Garza	Spn	PERSON/PERSON	16.02	27.09	-1.01	26.08
"	Punct	O	N/A	N/A	N/A	N/A
Alicia	Spn	PERSON/PERSON	18.99	35.2	-1.01	34.190000000000005
Gaspar	Spn	PERSON/PERSON	20.84	24.66	-1.01	23.65
de	Spn	PERSON/PERSON	26.21	47.06	-1.01	46.050000000000004
Alba	Spn	PERSON/PERSON	18.21	31.73	-1.01	30.72
"	Punct	O	N/A	N/A	N/A	N/A
Rosemary	Eng	PERSON/PERSON	24.83	11.36	-2.38	22.45
Geisdorfer	Eng	PERSON/PERSON	16.01	9.99	-0.8	15.21
Feal	Eng	PERSON/PERSON	29.2	23.52	-0.8	28.4
"	Punct	O	N/A	N/A	N/A	N/A
Joshua	Spn	PERSON/PERSON	7.86	12.91	-2.38	10.530000000000001
and	Eng	O/PERSON	58.08	26.56	-2.38	55.699999999999996
Peggy	Eng	PERSON/PERSON	18.6	18.2	-0.8	17.8
Golden	Eng	PERSON/PERSON	37.53	26.57	-0.8	36.730000000000004
"	Punct	O	N/A	N/A	N/A	N/A
Martha	Spn	PERSON/PERSON	18.67	31.09	-2.38	28.71
Goldin	Eng	PERSON/PERSON	29.88	17.63	-2.38	27.5
"	Punct	O	N/A	N/A	N/A	N/A
Deena	Spn	PERSON/MISC	20.06	28.43	-2.38	26.05
J	Spn	PERSON/MISC	0.6	-0.08	-1.01	-1.09
.	Punct	O	N/A	N/A	N/A	N/A
González	Spn	PERSON/PERSON	11.12	18.38	-1.01	17.369999999999997
"	Punct	O	N/A	N/A	N/A	N/A
Verónica	Spn	PERSON/PERSON	19.73	38.97	-1.01	37.96
Grossi	Spn	PERSON/PERSON	19.58	17.9	-1.01	16.889999999999997
"	Punct	O	N/A	N/A	N/A	N/A
Lucía	Spn	O/MISC	11.52	33.1	-1.01	32.09
GuerraCunningham	Eng	O/MISC	23.54	16.77	-2.38	21.16
"	Punct	O	N/A	N/A	N/A	N/A
Andrea	Eng	PERSON/PERSON	32.05	28.33	-0.8	31.249999999999996
Gutiérrez	Spn	PERSON/PERSON	3.46	21.87	-2.38	19.490000000000002
"	Punct	O	N/A	N/A	N/A	N/A
Elizabeth	Spn	PERSON/PERSON	15.09	21.49	-1.01	20.479999999999997
R	Eng	PERSON/PERSON	12.78	8.87	-2.38	10.399999999999999
.	Punct	O	N/A	N/A	N/A	N/A
Horan	Spn	PERSON/PERSON	27.94	37.5	-2.38	35.12
"	Punct	O	N/A	N/A	N/A	N/A
Lillian	Eng	PERSON/PERSON	31.59	19.6	-2.38	29.21
Kaiser	Eng	PERSON/PERSON	19.11	12.05	-0.8	18.31
"	Punct	O	N/A	N/A	N/A	N/A
Laura	Spn	PERSON/PERSON	20.87	33.8	-2.38	31.419999999999998
Klein	Eng	PERSON/PERSON	17.01	6.92	-2.38	14.630000000000003
"	Punct	O	N/A	N/A	N/A	N/A
Alicia	Spn	PERSON/PERSON	18.99	35.2	-2.38	32.82
Kozameh	Eng	PERSON/PERSON	2.97	-4.08	-2.38	0.5900000000000003
"	Punct	O	N/A	N/A	N/A	N/A
Josh	Eng	PERSON/PERSON	21.68	8.08	-0.8	20.88
Kun	Eng	PERSON/PERSON	12.87	12.03	-0.8	12.069999999999999
"	Punct	O	N/A	N/A	N/A	N/A
Wim	Eng	O/PERSON	25.54	1.16	-0.8	24.74
Lindeque	Spn	O/PERSON	22.46	36.81	-2.38	34.43
"	Punct	O	N/A	N/A	N/A	N/A
Tiffany	Eng	PERSON/PERSON	23.59	12.24	-2.38	21.21
Ana	Spn	PERSON/PERSON	28.49	31.17	-2.38	28.790000000000003
López	Spn	PERSON/PERSON	0.89	16.77	-1.01	15.76
"	Punct	O	N/A	N/A	N/A	N/A
Adelaida	Spn	PERSON/PERSON	13.41	32.31	-1.01	31.3
López	Spn	PERSON/PERSON	0.89	16.77	-1.01	15.76
-	Punct	O	N/A	N/A	N/A	N/A
Mejía	Spn	O/PERSON	10.0	28.34	-1.01	27.33
"	Punct	O	N/A	N/A	N/A	N/A
Gustavo	Spn	PERSON/PERSON	7.59	41.39	-1.01	40.38
Llarull	Eng	PERSON/PERSON	20.85	14.8	-2.38	18.470000000000002
"	Punct	O	N/A	N/A	N/A	N/A
Jorge	Eng	PERSON/PERSON	23.99	22.24	-0.8	23.189999999999998
Mariscal	Spn	PERSON/PERSON	27.46	35.87	-2.38	33.489999999999995
"	Punct	O	N/A	N/A	N/A	N/A
Francine	Eng	PERSON/PERSON	38.74	36.19	-2.38	36.36
Masiello	Spn	PERSON/PERSON	20.09	29.13	-2.38	26.75
"	Punct	O	N/A	N/A	N/A	N/A
Alistair	Eng	PERSON/PERSON	28.85	25.53	-2.38	26.470000000000002
McCartney	Eng	PERSON/PERSON	15.82	4.31	-0.8	15.02
"	Punct	O	N/A	N/A	N/A	N/A
Michael	Eng	PERSON/PERSON	28.81	28.88	-0.8	28.009999999999998
McGaha	Spn	PERSON/PERSON	5.04	11.06	-2.38	8.68
"	Punct	O	N/A	N/A	N/A	N/A
Tim	Eng	PERSON/PERSON	31.47	14.27	-2.38	29.09
Miller	Eng	PERSON/PERSON	40.15	37.66	-0.8	39.35
"	Punct	O	N/A	N/A	N/A	N/A
María	Spn	PERSON/PERSON	14.64	41.64	-2.38	39.26
Gabriela	Spn	PERSON/PERSON	11.3	27.95	-1.01	26.939999999999998
Mizraje	Spn	PERSON/PERSON	7.93	25.15	-1.01	24.139999999999997
"	Punct	O	N/A	N/A	N/A	N/A
Florence	Eng	LOCATION/PERSON	35.42	30.6	-2.38	33.04
MoorheadRosenberg	Eng	O/PERSON	3.42	-11.54	-0.8	2.62
"	Punct	O	N/A	N/A	N/A	N/A
Francisca	Spn	PERSON/PERSON	21.01	38.29	-2.38	35.91
Noguerol	Eng	PERSON/PERSON	19.07	17.72	-2.38	16.69
"	Punct	O	N/A	N/A	N/A	N/A
Andrea	Eng	PERSON/MISC	32.05	28.33	-0.8	31.249999999999996
Ostrov	Spn	PERSON/MISC	-4.57	0.9	-2.38	-1.48
"	Punct	O	N/A	N/A	N/A	N/A
Cristina	Spn	PERSON/PERSON	31.97	44.78	-1.01	43.77
Piña	Spn	PERSON/PERSON	8.81	30.02	-1.01	29.009999999999998
"	Punct	O	N/A	N/A	N/A	N/A
Hilda	Spn	PERSON/PERSON	18.51	23.75	-1.01	22.74
Rais	Eng	PERSON/PERSON	31.22	23.45	-2.38	28.84
"	Punct	O	N/A	N/A	N/A	N/A
Lynn	Eng	PERSON/PERSON	11.28	10.35	-0.8	10.479999999999999
Rapaport	Eng	PERSON/PERSON	26.63	12.6	-0.8	25.83
"	Punct	O	N/A	N/A	N/A	N/A
Victor	Spn	PERSON/PERSON	34.42	40.79	-2.38	38.41
Richini	Eng	PERSON/PERSON	19.94	18.08	-2.38	17.560000000000002
"	Punct	O	N/A	N/A	N/A	N/A
John	Eng	PERSON/PERSON	18.24	15.27	-0.8	17.439999999999998
Carlos	Spn	PERSON/PERSON	20.19	47.2	-2.38	44.82
Rowe	Eng	PERSON/PERSON	25.99	10.58	-2.38	23.61
"	Punct	O	N/A	N/A	N/A	N/A
Emma	Spn	PERSON/PERSON	15.47	18.56	-2.38	16.18
Sepúlveda	Spn	PERSON/PERSON	13.49	24.36	-1.01	23.349999999999998
"	Punct	O	N/A	N/A	N/A	N/A
Ana	Spn	PERSON/PERSON	28.49	31.17	-1.01	30.16
María	Spn	PERSON/PERSON	14.64	41.64	-1.01	40.63
Shua	Spn	PERSON/PERSON	17.77	17.4	-1.01	16.389999999999997
"	Punct	O	N/A	N/A	N/A	N/A
Saúl	Spn	O/PERSON	11.24	19.08	-1.01	18.069999999999997
Sosnowski	Eng	O/PERSON	13.16	9.67	-2.38	10.780000000000001
"	Punct	O	N/A	N/A	N/A	N/A
Ilán	Spn	O/PERSON	9.4	17.13	-2.38	14.75
Stavans	Eng	O/PERSON	31.71	9.66	-2.38	29.330000000000002
"	Punct	O	N/A	N/A	N/A	N/A
Mónica	Spn	O/PERSON	10.08	27.17	-2.38	24.790000000000003
Szurmuk	Eng	O/PERSON	-1.18	-5.81	-2.38	-3.5599999999999996
"	Punct	O	N/A	N/A	N/A	N/A
Miguel	Spn	PERSON/PERSON	23.4	30.07	-2.38	27.69
Tinker	Eng	PERSON/PERSON	32.98	22.1	-2.38	30.599999999999998
Salas	Spn	PERSON/PERSON	35.13	42.1	-2.38	39.72
"	Punct	O	N/A	N/A	N/A	N/A
Daniel	Spn	PERSON/PERSON	21.29	29.44	-1.01	28.43
Torres	Spn	PERSON/PERSON	33.33	42.6	-1.01	41.59
"	Punct	O	N/A	N/A	N/A	N/A
Paulina	Spn	PERSON/PERSON	21.91	30.06	-1.01	29.049999999999997
Vinderman	Spn	PERSON/PERSON	27.59	31.82	-1.01	30.81
"	Punct	O	N/A	N/A	N/A	N/A
Margaret	Eng	PERSON/PERSON	36.67	24.73	-2.38	34.29
Waller	Eng	PERSON/PERSON	43.69	17.15	-0.8	42.89
"	Punct	O	N/A	N/A	N/A	N/A
Suzinn	Eng	PERSON/MISC	12.72	10.18	-0.8	11.92
Lee	Eng	PERSON/MISC	25.25	27.07	-0.8	24.45
Weiss	Eng	PERSON/MISC	30.66	8.12	-0.8	29.86
"	Punct	O	N/A	N/A	N/A	N/A
Heather	Eng	PERSON/PERSON	55.0	22.82	-0.8	54.2
Williams	Eng	PERSON/PERSON	48.35	7.74	-0.8	47.550000000000004
"	Punct	O	N/A	N/A	N/A	N/A
Howard	Eng	PERSON/MISC	40.33	15.23	-0.8	39.53
T	Eng	PERSON/MISC	40.21	10.87	-0.8	39.410000000000004
.	Punct	O	N/A	N/A	N/A	N/A
Young	Eng	O/PERSON	55.09	19.97	-0.8	54.290000000000006
.	Punct	O	N/A	N/A	N/A	N/A
The	Eng	O	60.83	27.05	-0.8	60.03
following	Eng	O	59.12	11.0	-0.8	58.32
former	Eng	O	45.29	31.67	-0.8	44.49
students	Eng	O	58.52	6.16	-0.8	57.720000000000006
at	Eng	O/ORGANIZATION	43.35	13.78	-0.8	42.550000000000004
Pomona	Spn	ORGANIZATION/ORGANIZATION	14.87	27.27	-2.38	24.89
College	Eng	ORGANIZATION/ORGANIZATION	56.38	28.78	-2.38	54.0
have	Eng	O	60.11	28.54	-0.8	59.31
all	Eng	O	47.74	25.64	-0.8	46.940000000000005
read	Eng	O	47.87	22.02	-0.8	47.07
and	Eng	O	58.08	26.56	-0.8	57.28
given	Eng	O	47.29	24.86	-0.8	46.49
me	Eng	O	41.15	43.0	-0.8	40.35
invaluable	Eng	O	47.67	29.28	-0.8	46.870000000000005
feedback	Eng	O	37.92	5.65	-0.8	37.120000000000005
on	Eng	O	43.01	23.0	-0.8	42.21
múltiples	Spn	O	22.59	30.15	-2.38	27.77
versiones	Spn	O	46.57	55.68	-1.01	54.67
de	Spn	O	26.21	47.06	-1.01	46.050000000000004
estas	Spn	O	28.8	55.03	-1.01	54.02
crónicas	Spn	O	15.47	36.43	-1.01	35.42
"	Punct	O	N/A	N/A	N/A	N/A
and	Eng	O	58.08	26.56	-2.38	55.699999999999996
have	Eng	O	60.11	28.54	-0.8	59.31
been	Eng	O	52.66	22.28	-0.8	51.86
been	Eng	O	52.66	22.28	-0.8	51.86
closely	Eng	O	45.22	16.7	-0.8	44.42
involved	Eng	O	59.99	27.53	-0.8	59.190000000000005
with	Eng	O	54.27	4.16	-0.8	53.470000000000006
me	Eng	O	41.15	43.0	-0.8	40.35
in	Eng	O	45.41	25.29	-0.8	44.61
classes	Eng	O	50.61	32.05	-0.8	49.81
"	Punct	O	N/A	N/A	N/A	N/A
as	Eng	O	41.38	30.98	-0.8	40.580000000000005
research	Eng	O	48.14	12.66	-0.8	47.34
assistants	Eng	O	49.05	13.69	-0.8	48.25
"	Punct	O	N/A	N/A	N/A	N/A
y	Spn	O	21.5	34.41	-2.38	32.029999999999994
en	Spn	O	25.45	42.54	-1.01	41.53
la	Spn	O	18.68	44.74	-1.01	43.730000000000004
vida	Spn	O	20.99	46.18	-1.01	45.17
.	Punct	O	N/A	N/A	N/A	N/A
Para	Spn	O	27.32	53.43	-1.01	52.42
todos	Spn	O	25.81	56.77	-1.01	55.760000000000005
"	Punct	O	N/A	N/A	N/A	N/A
gracias	Spn	O	29.81	60.45	-1.01	59.440000000000005
:	Punct	O	N/A	N/A	N/A	N/A
Francisco	Spn	PERSON/PERSON	30.52	43.01	-1.01	42.0
Dueñas	Spn	PERSON/PERSON	19.23	40.37	-1.01	39.36
"	Punct	O	N/A	N/A	N/A	N/A
Tanya	Spn	PERSON/PERSON	17.85	24.1	-1.01	23.09
González	Spn	PERSON/PERSON	11.12	18.38	-1.01	17.369999999999997
(	Punct	O	N/A	N/A	N/A	N/A
Scripps	Eng	ORGANIZATION/ORGANIZATION	23.64	5.38	-2.38	21.26
College	Eng	ORGANIZATION/ORGANIZATION	56.38	28.78	-0.8	55.580000000000005
)	Punct	O	N/A	N/A	N/A	N/A
"	Punct	O	N/A	N/A	N/A	N/A
Gabriela	Spn	PERSON/PERSON	11.3	27.95	-2.38	25.57
Grannis	Eng	PERSON/PERSON	32.87	28.81	-2.38	30.49
"	Punct	O	N/A	N/A	N/A	N/A
Gregorio	Spn	PERSON/PERSON	19.01	31.85	-2.38	29.470000000000002
Houser	Eng	PERSON/PERSON	44.84	23.09	-2.38	42.46
"	Punct	O	N/A	N/A	N/A	N/A
Michael	Eng	PERSON/PERSON	28.81	28.88	-0.8	28.009999999999998
Kidd	Eng	PERSON/PERSON	26.47	1.87	-0.8	25.669999999999998
"	Punct	O	N/A	N/A	N/A	N/A
Annie	Eng	PERSON/PERSON	29.57	18.58	-0.8	28.77
Mascorro	Spn	PERSON/PERSON	15.46	36.3	-2.38	33.919999999999995
"	Punct	O	N/A	N/A	N/A	N/A
Clara	Spn	PERSON/MISC	20.74	44.26	-1.01	43.25
S	Eng	PERSON/MISC	40.13	19.22	-2.38	37.75
.	Punct	O	N/A	N/A	N/A	N/A
Moon	Eng	O	34.82	20.11	-0.8	34.02
"	Punct	O	N/A	N/A	N/A	N/A
Anna	Eng	PERSON/MISC	32.15	22.98	-0.8	31.349999999999998
A	Eng	PERSON/MISC	39.06	38.09	-0.8	38.260000000000005
.	Punct	O	N/A	N/A	N/A	N/A
I	Eng	O/MISC	42.31	11.38	-0.8	41.510000000000005
I	Eng	O/MISC	42.31	11.38	-0.8	41.510000000000005
Moore	Eng	PERSON/MISC	34.13	24.21	-0.8	33.330000000000005
"	Punct	O	N/A	N/A	N/A	N/A
Marissa	Spn	PERSON/PERSON	17.75	29.37	-2.38	26.990000000000002
Muñoz	Spn	PERSON/PERSON	3.88	17.16	-1.01	16.15
"	Punct	O	N/A	N/A	N/A	N/A
Vickie	Spn	PERSON/PERSON	19.46	24.36	-1.01	23.349999999999998
Ramos	Spn	PERSON/PERSON	17.74	44.41	-1.01	43.4
"	Punct	O	N/A	N/A	N/A	N/A
Cristóbal	Spn	PERSON/PERSON	20.19	41.85	-1.01	40.84
Schraeder	Eng	PERSON/PERSON	27.36	15.27	-2.38	24.98
"	Punct	O	N/A	N/A	N/A	N/A
Alelí	Spn	O/MISC	1.08	17.04	-2.38	14.66
Stok	Eng	O/MISC	24.01	5.03	-2.38	21.630000000000003
"	Punct	O	N/A	N/A	N/A	N/A
Adam	Eng	PERSON/PERSON	23.07	12.07	-0.8	22.27
Teicholz	Eng	PERSON/PERSON	0.51	1.32	-0.8	-0.29000000000000004
"	Punct	O	N/A	N/A	N/A	N/A
Danilo	Spn	PERSON/PERSON	16.22	26.64	-2.38	24.26
Trisi	Spn	PERSON/PERSON	16.54	25.19	-1.01	24.18
"	Punct	O	N/A	N/A	N/A	N/A
Elizabeth	Spn	PERSON/PERSON	15.09	21.49	-1.01	20.479999999999997
“	Punct	O	N/A	N/A	N/A	N/A
Mia	Spn	PERSON/PERSON	20.43	25.29	-1.01	24.279999999999998
”	Punct	O	N/A	N/A	N/A	N/A
Vogel	Spn	PERSON/PERSON	15.33	22.18	-1.01	21.169999999999998
.	Punct	O	N/A	N/A	N/A	N/A
I	Eng	O	42.31	11.38	-2.38	39.93
thank	Eng	O	53.77	16.35	-0.8	52.970000000000006
Elisabeth	Eng	PERSON/PERSON	14.8	14.03	-0.8	14.0
(	Punct	O	N/A	N/A	N/A	N/A
Echagüe	Spn	O/LOCATION	5.08	18.52	-2.38	16.14
)	Punct	O	N/A	N/A	N/A	N/A
Bonet	Eng	PERSON/PERSON	27.44	14.61	-2.38	25.060000000000002
and	Eng	O	58.08	26.56	-0.8	57.28
Chris	Eng	PERSON/PERSON	23.59	23.39	-0.8	22.79
Sadiq	Eng	PERSON/PERSON	7.54	-0.23	-0.8	6.74
"	Punct	O	N/A	N/A	N/A	N/A
masajistas	Spn	O	22.1	41.39	-2.38	39.01
sin	Spn	O	34.39	38.21	-1.01	37.2
par	Spn	O	30.7	39.27	-1.01	38.260000000000005
in	Eng	O	45.41	25.29	-2.38	43.029999999999994
Buenos	Spn	LOCATION/LOCATION	18.33	55.86	-2.38	53.48
Aires	Spn	LOCATION/LOCATION	33.73	38.14	-1.01	37.13
and	Eng	O	58.08	26.56	-2.38	55.699999999999996
Claremont	Eng	LOCATION/LOCATION	26.66	24.43	-0.8	25.86
respectively	Eng	O	62.43	32.02	-0.8	61.63
.	Punct	O	N/A	N/A	N/A	N/A
Your	Eng	O	56.33	24.2	-0.8	55.53
healing	Eng	O	52.62	13.22	-0.8	51.82
hands	Eng	O	46.68	21.28	-0.8	45.88
keep	Eng	O	39.2	-2.65	-0.8	38.400000000000006
my	Eng	O	41.2	20.91	-0.8	40.400000000000006
words	Eng	O	46.58	4.49	-0.8	45.78
flowing	Eng	O	49.27	13.43	-0.8	48.470000000000006
.	Punct	O	N/A	N/A	N/A	N/A
Slightly	Eng	O	41.04	3.93	-0.8	40.24
different	Eng	O	72.44	17.22	-0.8	71.64
versions	Eng	O	51.24	29.05	-0.8	50.440000000000005
of	Eng	O	45.37	12.91	-0.8	44.57
several	Eng	O	53.78	34.36	-0.8	52.980000000000004
of	Eng	O	45.37	12.91	-0.8	44.57
these	Eng	O	62.33	30.24	-0.8	61.53
crónicas	Spn	O	15.47	36.43	-2.38	34.05
were	Eng	O	57.76	17.06	-2.38	55.379999999999995
published	Eng	O	52.0	18.97	-0.8	51.2
in	Eng	O	45.41	25.29	-0.8	44.61
the	Eng	O	60.83	27.05	-0.8	60.03
following	Eng	O	59.12	11.0	-0.8	58.32
journals	Eng	O	29.19	4.29	-0.8	28.39
:	Punct	O	N/A	N/A	N/A	N/A
“	Punct	O	N/A	N/A	N/A	N/A
‘	Punct	O	N/A	N/A	N/A	N/A
Killer	Eng	O/MISC	44.84	19.13	-0.8	44.040000000000006
’	Punct	O	N/A	N/A	N/A	N/A
Crónicas	Spn	O/MISC	15.47	36.43	-2.38	34.05
"	Punct	O	N/A	N/A	N/A	N/A
”	Punct	O	N/A	N/A	N/A	N/A
Letras	Spn	O/MISC	27.63	44.29	-1.01	43.28
FemeninasVII	Spn	O/MISC	2.19	7.4	-1.01	6.390000000000001
:	Punct	O	N/A	N/A	N/A	N/A
2	Num	O	N/A	N/A	N/A	N/A
(	Punct	O	N/A	N/A	N/A	N/A
2001	Num	O	N/A	N/A	N/A	N/A
)	Punct	O	N/A	N/A	N/A	N/A
"	Punct	O	N/A	N/A	N/A	N/A
